Date,Index,Expiry,Type,Strike,Qty,Entry_Price,Entry_Time,Exit_Price,Exit_Time,PL,Exit_Reason,Instr_PL,Instr_Category,Day_PL,Day_Category,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Change_Pct
11-06-2026,NIFTY,16-Jun-2026,CE,23500,65,42.85,09:44,64.2,11:47,-1387.75,50% SL,-685.75,50% SL only,-1230.75,Mixed: 50%+BE + 50%SL,15.6325,15.945,15.1225,15.61,-0.14
11-06-2026,NIFTY,16-Jun-2026,PE,22800,65,45.65,09:44,34.85,15:14,702.0,EOD,-685.75,50% SL only,-1230.75,Mixed: 50%+BE + 50%SL,15.6325,15.945,15.1225,15.61,-0.14
11-06-2026,SENSEX,11-Jun-2026,CE,74100,20,54.1,09:44,80.45,09:51,-527.0,50% SL,-545.0,50%SL + BE hit,-1230.75,Mixed: 50%+BE + 50%SL,15.6325,15.945,15.1225,15.61,-0.14
11-06-2026,SENSEX,11-Jun-2026,PE,73300,20,48.6,09:44,49.5,09:58,-18.0,BE Trail,-545.0,50%SL + BE hit,-1230.75,Mixed: 50%+BE + 50%SL,15.6325,15.945,15.1225,15.61,-0.14
12-06-2026,NIFTY,16-Jun-2026,CE,23650,65,38.8,09:45,58.5,13:37,-1280.5,50% SL,643.5,50% SL only,932.5,Both: 50% SL only,15.6125,15.6125,14.395,14.72,-5.72
12-06-2026,NIFTY,16-Jun-2026,PE,23100,65,45.75,09:45,16.15,15:14,1924.0,EOD,643.5,50% SL only,932.5,Both: 50% SL only,15.6125,15.6125,14.395,14.72,-5.72
12-06-2026,SENSEX,16-Jun-2026,CE,75900,20,158.25,09:45,241.0,13:39,-1655.0,50% SL,289.0,50% SL only,932.5,Both: 50% SL only,15.6125,15.6125,14.395,14.72,-5.72
12-06-2026,SENSEX,16-Jun-2026,PE,73400,20,181.7,09:45,84.5,15:14,1944.0,EOD,289.0,50% SL only,932.5,Both: 50% SL only,15.6125,15.6125,14.395,14.72,-5.72
15-06-2026,NIFTY,16-Jun-2026,CE,24150,65,32.8,09:45,49.05,10:51,-1056.25,50% SL,-1069.25,50%SL + BE hit,-1225.25,1 Instr: 50%+BE hit,13.5575,14.6025,13.5575,14.2425,5.05
15-06-2026,NIFTY,16-Jun-2026,PE,23750,65,31.7,09:45,31.9,12:10,-13.0,BE Trail,-1069.25,50%SL + BE hit,-1225.25,1 Instr: 50%+BE hit,13.5575,14.6025,13.5575,14.2425,5.05
15-06-2026,SENSEX,18-Jun-2026,CE,77800,20,132.45,09:45,83.6,15:14,977.0,EOD,-156.0,Both: EOD,-1225.25,1 Instr: 50%+BE hit,13.5575,14.6025,13.5575,14.2425,5.05
15-06-2026,SENSEX,18-Jun-2026,PE,75600,20,158.45,09:45,215.1,15:14,-1133.0,EOD,-156.0,Both: EOD,-1225.25,1 Instr: 50%+BE hit,13.5575,14.6025,13.5575,14.2425,5.05
16-06-2026,NIFTY,16-Jun-2026,CE,24000,65,18.6,09:45,28.15,10:35,-620.75,50% SL,201.75,50% SL only,1222.75,1 Instr: 50% SL only,13.01,13.97,13.01,13.3925,2.94
16-06-2026,NIFTY,16-Jun-2026,PE,23800,65,12.75,09:45,0.1,15:15,822.5,EOD,201.75,50% SL only,1222.75,1 Instr: 50% SL only,13.01,13.97,13.01,13.3925,2.94
16-06-2026,SENSEX,18-Jun-2026,CE,77400,20,106.2,09:45,120.2,15:14,-280.0,EOD,1021.0,Both: EOD,1222.75,1 Instr: 50% SL only,13.01,13.97,13.01,13.3925,2.94
16-06-2026,SENSEX,18-Jun-2026,PE,75700,20,112.75,09:45,47.7,15:14,1301.0,EOD,1021.0,Both: EOD,1222.75,1 Instr: 50% SL only,13.01,13.97,13.01,13.3925,2.94
17-06-2026,NIFTY,23-Jun-2026,CE,24400,65,48.0,09:45,40.4,15:14,494.0,EOD,1452.75,Both: EOD,3340.75,Both Clean,13.3625,13.5325,12.35,13.1875,-1.31
17-06-2026,NIFTY,23-Jun-2026,PE,23700,65,50.1,09:45,35.35,15:14,958.75,EOD,1452.75,Both: EOD,3340.75,Both Clean,13.3625,13.5325,12.35,13.1875,-1.31
17-06-2026,SENSEX,18-Jun-2026,CE,77700,20,94.9,09:45,57.0,15:15,758.0,EOD,1888.0,Both: EOD,3340.75,Both Clean,13.3625,13.5325,12.35,13.1875,-1.31
17-06-2026,SENSEX,18-Jun-2026,PE,76400,20,94.0,09:45,37.5,15:14,1130.0,EOD,1888.0,Both: EOD,3340.75,Both Clean,13.3625,13.5325,12.35,13.1875,-1.31
18-06-2026,NIFTY,23-Jun-2026,CE,24400,65,32.2,09:45,32.2,12:30,0.0,BE Trail,-1166.75,50%SL + BE hit,-1700.75,Both: 50%+BE hit,13.18,13.225,11.9925,12.725,-3.51
18-06-2026,NIFTY,23-Jun-2026,PE,23800,65,34.95,09:45,52.9,11:20,-1166.75,50% SL,-1166.75,50%SL + BE hit,-1700.75,Both: 50%+BE hit,13.18,13.225,11.9925,12.725,-3.51
18-06-2026,SENSEX,18-Jun-2026,CE,77500,20,50.3,09:45,76.0,09:50,-514.0,50% SL,-534.0,50%SL + BE hit,-1700.75,Both: 50%+BE hit,13.18,13.225,11.9925,12.725,-3.51
18-06-2026,SENSEX,18-Jun-2026,PE,76900,20,48.3,09:45,49.3,10:38,-20.0,BE Trail,-534.0,50%SL + BE hit,-1700.75,Both: 50%+BE hit,13.18,13.225,11.9925,12.725,-3.51
19-06-2026,NIFTY,23-Jun-2026,CE,24250,65,36.55,09:45,31.3,15:14,341.25,EOD,1410.5,Both: EOD,2772.5,Both Clean,12.6725,13.6425,12.07,12.97,2.35
